iter	Passed	Remaining
0	171	171714
1	191	95613
2	211	70421
3	229	57127
4	248	49535
5	267	44287
6	285	40453
7	303	37639
8	321	35375
9	338	33487
10	355	31949
11	372	30647
12	391	29687
13	409	28806
14	427	28077
15	445	27383
16	463	26775
17	481	26257
18	498	25750
19	516	25296
20	533	24872
21	550	24467
22	566	24081
23	585	23791
24	603	23523
25	619	23225
26	636	22947
27	651	22628
28	669	22409
29	685	22179
30	702	21964
31	720	21793
32	737	21596
33	754	21429
34	771	21281
35	789	21141
36	807	21019
37	825	20889
38	841	20731
39	859	20632
40	876	20506
41	895	20421
42	911	20280
43	927	20142
44	944	20044
45	962	19965
46	981	19902
47	999	19830
48	1016	19729
49	1034	19646
50	1051	19558
51	1067	19467
52	1083	19362
53	1099	19267
54	1117	19206
55	1133	19110
56	1150	19033
57	1166	18951
58	1183	18878
59	1201	18818
60	1218	18763
61	1236	18700
62	1253	18643
63	1270	18585
64	1286	18510
65	1303	18446
66	1321	18407
67	1338	18341
68	1356	18296
69	1373	18245
70	1390	18188
71	1410	18176
72	1429	18151
73	1448	18122
74	1465	18078
75	1483	18039
76	1501	17994
77	1518	17949
78	1535	17898
79	1550	17833
80	1568	17800
81	1586	17763
82	1604	17731
83	1621	17686
84	1639	17652
85	1655	17599
86	1674	17569
87	1690	17518
88	1706	17472
89	1725	17445
90	1743	17418
91	1760	17377
92	1777	17330
93	1794	17298
94	1811	17255
95	1830	17241
96	1849	17221
97	1868	17197
98	1886	17172
99	1907	17165
100	1925	17143
101	1943	17107
102	1961	17078
103	1982	17076
104	1999	17042
105	2017	17019
106	2040	17025
107	2057	16995
108	2076	16974
109	2095	16955
110	2112	16915
111	2129	16881
112	2146	16848
113	2163	16812
114	2180	16776
115	2197	16744
116	2215	16721
117	2233	16693
118	2251	16665
119	2269	16639
120	2287	16615
121	2304	16584
122	2321	16549
123	2339	16525
124	2355	16489
125	2373	16462
126	2395	16465
127	2416	16461
128	2434	16440
129	2453	16417
130	2469	16379
131	2487	16360
132	2503	16317
133	2517	16272
134	2534	16238
135	2551	16207
136	2568	16176
137	2585	16148
138	2599	16100
139	2613	16051
140	2630	16024
141	2644	15975
142	2658	15931
143	2672	15887
144	2687	15845
145	2702	15808
146	2717	15766
147	2731	15726
148	2748	15697
149	2765	15669
150	2782	15643
151	2799	15617
152	2817	15597
153	2832	15560
154	2847	15523
155	2862	15487
156	2877	15452
157	2892	15413
158	2906	15375
159	2922	15342
160	2937	15305
161	2952	15271
162	2967	15235
163	2981	15198
164	2996	15163
165	3010	15124
166	3025	15092
167	3040	15056
168	3053	15016
169	3067	14977
170	3081	14939
171	3096	14904
172	3110	14868
173	3125	14835
174	3139	14801
175	3154	14769
176	3169	14735
177	3184	14705
178	3198	14671
179	3213	14638
180	3229	14611
181	3244	14580
182	3257	14541
183	3271	14507
184	3285	14475
185	3300	14443
186	3314	14410
187	3329	14379
188	3343	14347
189	3358	14316
190	3375	14298
191	3391	14272
192	3407	14248
193	3423	14224
194	3439	14198
195	3453	14168
196	3467	14135
197	3482	14105
198	3496	14073
199	3511	14044
200	3526	14016
201	3541	13989
202	3556	13961
203	3570	13933
204	3585	13903
205	3599	13875
206	3615	13849
207	3630	13822
208	3645	13795
209	3659	13768
210	3674	13738
211	3690	13717
212	3707	13699
213	3725	13683
214	3742	13665
215	3758	13642
216	3776	13625
217	3793	13608
218	3811	13591
219	3826	13566
220	3840	13538
221	3858	13523
222	3873	13498
223	3888	13471
224	3903	13443
225	3918	13418
226	3933	13393
227	3947	13365
228	3962	13342
229	3977	13314
230	3991	13287
231	4006	13262
232	4021	13236
233	4035	13211
234	4050	13185
235	4064	13158
236	4078	13131
237	4093	13105
238	4108	13082
239	4123	13056
240	4137	13031
241	4152	13007
242	4167	12982
243	4182	12958
244	4196	12932
245	4211	12907
246	4225	12881
247	4240	12857
248	4255	12834
249	4269	12808
250	4283	12782
251	4297	12757
252	4312	12733
253	4327	12709
254	4341	12685
255	4360	12672
256	4376	12654
257	4392	12633
258	4408	12612
259	4423	12590
260	4437	12565
261	4451	12539
262	4466	12515
263	4480	12490
264	4495	12467
265	4509	12443
266	4524	12420
267	4538	12397
268	4552	12372
269	4567	12348
270	4580	12320
271	4594	12296
272	4609	12274
273	4623	12249
274	4637	12227
275	4652	12203
276	4666	12179
277	4680	12156
278	4695	12133
279	4710	12113
280	4725	12090
281	4740	12068
282	4754	12045
